Designator,Mid X,Mid Y,Layer,Rotation
C1,122.312432,-114.554,top,180
C2,128.55,-114.554,top,0
C3,134.787568,-114.554,top,0
C4,122.3772,-101.346,top,180
C5,128.5748,-101.346,top,180
C6,134.7724,-101.346,top,180
D1,119.809545,-107.97,top,-90
D2,123.017635,-107.97,top,-90
D3,126.225725,-107.97,top,-90
D4,127.86977,-107.93,top,90
D5,131.07786,-107.93,top,90
D6,134.28595,-107.93,top,90
R1,119.193648,-114.554,top,0
R2,118.2055,-107.95,top,-90
R3,125.431216,-114.554,top,0
R4,121.41359,-107.95,top,-90
R5,131.668784,-114.554,top,180
R6,124.62168,-107.95,top,-90
R7,119.2784,-101.346,top,0
R8,129.473815,-107.95,top,90
R9,125.476,-101.346,top,0
R10,132.681905,-107.95,top,90
R11,131.6736,-101.346,top,0
R12,135.89,-107.95,top,90
